Folder,Timestamp,Elapsed_Hours,Integral,P1
102,N/A,0.0,408331377191.9688,100.0
105,N/A,1.0,425399100297.3545,104.17987058030116
108,N/A,2.0,401835485938.88855,98.40916186805151
111,N/A,3.0,401903747617.2475,98.42587909385678
114,N/A,4.0,401991608242.1183,98.44739608465846
117,N/A,5.0,397534302169.20776,97.35580569462702
120,N/A,6.0,398512160219.771,97.59528228280593
123,N/A,7.0,403469697407.8537,98.80937883893515
126,N/A,8.0,404231447886.18823,98.99593087017335
129,N/A,9.0,402144357234.8416,98.48480418044913
132,N/A,10.0,388111628141.6869,95.04820100053786
135,N/A,11.0,398499381571.5258,97.59215280293762
138,N/A,12.0,389506397549.7781,95.38977881845692
141,N/A,13.0,386274924829.7263,94.59839395298954
144,N/A,14.0,398790006557.26465,97.66332660979455
147,N/A,15.0,392707701087.5609,96.17377527736186
150,N/A,16.0,391275971423.00757,95.82314592470247
153,N/A,17.0,392682159522.0364,96.16752017012514
156,N/A,18.0,395724358491.6759,96.91255205833326
159,N/A,19.0,381216929766.0929,93.35969535029668
162,N/A,20.0,385204302292.3849,94.3361994224825
165,N/A,21.0,384618970081.3209,94.19285207183576
168,N/A,22.0,385510747313.686,94.41124754232291
171,N/A,23.0,384877012066.3301,94.25604633008349
174,N/A,24.0,370902242299.54517,90.8336373389138
177,N/A,25.0,377331112541.92413,92.40806208348997
180,N/A,26.0,370733942560.912,90.79242087894187
183,N/A,27.0,373445854710.0047,91.45656581135978
186,N/A,28.0,363858862819.3386,89.10871981515093
189,N/A,29.0,362076110964.9749,88.67212543275902
192,N/A,30.0,369293760007.2795,90.43972142108086
195,N/A,31.0,366905175620.67114,89.85475917717145
198,N/A,32.0,364078348651.2283,89.16247170495157
201,N/A,33.0,358652056407.2818,87.8335774423401
204,N/A,34.0,364541072922.1455,89.27579247743282
207,N/A,35.0,368385858552.27515,90.21737714245896
210,N/A,36.0,365052680459.3556,89.40108471941734
213,N/A,37.0,356181248549.6036,87.22847874170398
216,N/A,38.0,340735828386.5959,83.44590874445727
219,N/A,39.0,351165004572.048,86.00000494376772
222,N/A,40.0,344626371796.61786,84.39869945007892
225,N/A,41.0,349052547047.19977,85.48266592873162
228,N/A,42.0,350358457556.6626,85.8024822794719
231,N/A,43.0,352744741257.8078,86.38688108750749
234,N/A,44.0,341323532585.408,83.58983699284555
237,N/A,45.0,345711727854.76404,84.66450220704803
240,N/A,46.0,325218431998.2733,79.64571183207858
243,N/A,47.0,330862474678.29944,81.02793298756247
246,N/A,48.0,327658045293.4364,80.2431710114196
249,N/A,49.0,337724278062.5546,82.70838268296495
252,N/A,50.0,331053587999.37006,81.07473647407993
255,N/A,51.0,321923875003.3687,78.83887768243258
258,N/A,52.0,320685431310.4387,78.535583896526
261,N/A,53.0,316836413187.6483,77.59296269771941
264,N/A,54.0,324416948123.51605,79.44942912652974
267,N/A,55.0,322216245603.5448,78.91047898875068
270,N/A,56.0,310432531490.64874,76.02465762622623
273,N/A,57.0,301941799207.0745,73.94528465666322
276,N/A,58.0,309715252431.2046,75.84899660689024
279,N/A,59.0,308614654554.3693,75.5794611417482
282,N/A,60.0,304062249205.1646,74.46458102146185
285,N/A,61.0,301852176753.7861,73.92333619561063
288,N/A,62.0,298407358904.09033,73.07970329299482
291,N/A,63.0,295410375010.39233,72.34574453765552
294,N/A,64.0,293453410697.4647,71.86648567531059
297,N/A,65.0,291915426573.34106,71.48983469769037
300,N/A,66.0,290954163745.79095,71.25442226522912
303,N/A,67.0,286898372935.15063,70.26116261456711
306,N/A,68.0,284853432157.0901,69.7603583922408
309,N/A,69.0,280929064790.0521,68.7992842288921
312,N/A,70.0,276046201401.1332,67.60347522139
315,N/A,71.0,274116479357.42203,67.13088796714038
318,N/A,72.0,269364917430.88995,65.96723457385775
321,N/A,73.0,271244820502.05713,66.42762120495502
324,N/A,74.0,262078117087.59973,64.18270349192122
327,N/A,75.0,260767559354.1234,63.86174904005204
330,N/A,76.0,264183379505.01447,64.69828043138942
333,N/A,77.0,260546020774.43326,63.80749443409606
336,N/A,78.0,253265525527.1758,62.02450746470755
339,N/A,79.0,252339851199.292,61.79781062493747
342,N/A,80.0,252762612329.9482,61.9013444590414
345,N/A,81.0,249480625686.76605,61.09758877762601
348,N/A,82.0,241986378407.6145,59.262254121081035
351,N/A,83.0,239088820811.43472,58.552644779740234
354,N/A,84.0,240563255756.63507,58.913732618578344
357,N/A,85.0,239288012727.26593,58.60142670710545
360,N/A,86.0,233066560569.25955,57.07779847143316
363,N/A,87.0,229244001270.16537,56.141657015593715
366,N/A,88.0,225931859124.78348,55.33051627785296
369,N/A,89.0,225755753523.32413,55.28738816884737
372,N/A,90.0,223521449722.6719,54.74020910658252
375,N/A,91.0,219119014744.72433,53.66205660010054
378,N/A,92.0,211256886306.1903,51.736628166801914
381,N/A,93.0,214805442409.3773,52.6056664776929
384,N/A,94.0,213557566707.17773,52.30006280089956
387,N/A,95.0,212092721428.01184,51.94132346295316
390,N/A,96.0,208911213783.24634,51.16217500107294
393,N/A,97.0,201201252236.5833,49.27401210757129
396,N/A,98.0,202867864166.62167,49.682163923260646
399,N/A,99.0,200552085978.4819,49.11503185418846
402,N/A,100.0,197095505113.04996,48.26851819922461
405,N/A,101.0,195006934844.1167,47.75702915243716
408,N/A,102.0,194918943343.00916,47.73548011015865
411,N/A,103.0,191392657457.41513,46.87189575623421
414,N/A,104.0,186102893586.05338,45.57643717361471
417,N/A,105.0,183303274813.08447,44.890812965105084
420,N/A,106.0,185022799352.8066,45.31192303299824
423,N/A,107.0,183312473086.68542,44.893065614329394
426,N/A,108.0,173680922243.41223,42.534307169287075
429,N/A,109.0,178223176527.91568,43.64670130263529
432,N/A,110.0,175989520066.34534,43.09968077314994
435,N/A,111.0,174251984983.49963,42.674159938872045
438,N/A,112.0,172005014657.85748,42.123878855626806
